id,symbol,type,entry_time,entry_price,sl,tp,entry_index,exit_price,exit_time,pnl_pips,comment
50,EURUSD,BUY,2025-01-17 03:40:00,1.03073,1.03027,1.0312819999999998,15252,1.03087,2025-01-17 04:30:00,14.000000000002897,Time Stop
51,EURUSD,SELL,2025-01-20 01:00:00,1.02732,1.02756,1.027032,15508,1.027032,2025-01-20 01:05:00,28.800000000006595,TP Hit
52,EURUSD,BUY,2025-01-20 20:55:00,1.03965,1.03874,1.0407419999999998,15747,1.0407419999999998,2025-01-20 21:45:00,109.19999999998707,TP Hit
53,EURUSD,BUY,2025-01-21 00:50:00,1.04138,1.04101,1.0418239999999999,15794,1.0418239999999999,2025-01-21 01:05:00,44.399999999988886,TP Hit
54,EURUSD,SELL,2025-01-21 06:55:00,1.03897,1.03923,1.0386579999999999,15867,1.0386579999999999,2025-01-21 07:15:00,31.200000000008995,TP Hit
55,EURUSD,SELL,2025-01-21 13:15:00,1.03506,1.03538,1.0346760000000002,15943,1.0346760000000002,2025-01-21 13:30:00,38.399999999993994,TP Hit
56,EURUSD,SELL,2025-01-21 14:20:00,1.03505,1.03568,1.034294,15956,1.03568,2025-01-21 14:30:00,-62.999999999990834,SL Hit
57,EURUSD,BUY,2025-01-22 00:30:00,1.04249,1.04229,1.04273,16078,1.04273,2025-01-22 00:35:00,24.000000000001794,TP Hit
58,EURUSD,SELL,2025-01-22 05:20:00,1.0412,1.04127,1.041116,16136,1.04127,2025-01-22 05:25:00,-7.000000000001449,SL Hit
59,EURUSD,SELL,2025-01-22 20:00:00,1.04125,1.04184,1.0405419999999999,16312,1.04184,2025-01-22 20:20:00,-59.00000000000904,SL Hit
60,EURUSD,SELL,2025-01-23 00:55:00,1.04072,1.04104,1.0403360000000001,16371,1.04062,2025-01-23 01:45:00,9.999999999998899,Time Stop
61,EURUSD,SELL,2025-01-23 02:45:00,1.04077,1.04096,1.0405419999999999,16393,1.04096,2025-01-23 02:55:00,-19.00000000001345,SL Hit
62,EURUSD,SELL,2025-01-23 03:45:00,1.04064,1.04097,1.0402440000000002,16405,1.0402440000000002,2025-01-23 03:55:00,39.59999999998409,TP Hit
63,EURUSD,BUY,2025-01-23 07:05:00,1.04109,1.04053,1.0417620000000003,16445,1.04053,2025-01-23 07:40:00,-56.00000000001159,SL Hit
